smiles,vapour,aerosol,gas
O=C=Nc1ccc(Cc2ccc(cc2)N=C=O)cc1,,0.4434,
[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[O-][P]1(=O)O[P]([O-])(=O)O[P]([O-])(=O)O[P]([O-])(=O)O[P]([O-])(=O)O[P]([O-])(=O)O1,,3.69,
[Na+].[Na+].[O-][P]([O-])(F)=O,,2.1,
SCC(=O)OCC(COC(=O)CS)(COC(=O)CS)COC(=O)CS,,3.363,
Clc1ccc(cc1Cl)N=C=O,,0.395,
CCCN(CCC)CCC,,4.5,
CC(=O)OCC(COC(C)=O)OC(C)=O,,1.721,
[Ba++].[O-][Cr]([O-])(=O)=O,,0.092,
[K+].[K+].[O-][S]([O-])(=O)=S,,9.625,
CC(C)(O)CCc1ccccc1,,3.005,
CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,,5.7,
OC(=O)Cc1ccccc1,,5,
CC(O)C(O)=O,,7.94,
[Cl-].[Cl-].[Ba++],,1.1,
CCCCC(CC)CO,,0.89,
CCc1ccc(CC)cc1,,5,
CCN(CC)CCOC(=O)C(C)=C,,1.8,
O=C1CCCCCN1,,8.28,
CCCCOC(=O)\C=C/C(=O)OCCCC,,5,
CN(CCCN)CCCN,,0.07,
CCCCC(CC)CNCC(CC)CCCC,,0.91,
Nc1ccc(N)cc1,,0.92,
OCCCCC(O)CO,,5.07,
[Na+].C[O-].COC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C#N.Cc2c(N)cccc2N,,1.04,
[Na+].C[O-].COC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C#N.Nc2ccc(N)cc2,,1.04,
O=CC=O,,2.44,
CC(=O)OOC(C)(C)C,,6.1,
OC(=O)CCS,,1.818,
Nc1cccc(N)c1,,3.2,
CCCCCCC(C)OC(=O)CCCCC(=O)OC(C)CCCCCC,,5.7,
Clc1nc(Cl)nc(Cl)n1,,0.173666667,
Nc1nc(N)nc(N)n1,,5.19,
O=C1NC(=O)NC(=O)N1,,5.25,
OC1CCCCC1,,3.6,
CCCCCl,,7.74,
[Mg++].C[O-].C[O-],,2.1,
OC(=O)\C=C\C(O)=O,,1.306,
N#CCCC#N,,2.67,
OCCCCO,,15,
OCC#CCO,,0.69,
CCCCCCC(O)=O,,4.6,
OC(=O)CCSCCC(O)=O,,5.13,
CN(C)CCCCCCN(C)C,,0.41,
O=CCCCC=O,,0.303333333,
COC(=O)CCCCCCCCC=C,,3.76,
CCCCCCCCN,,1.6,
[NH4+].O.NC([O-])=O,,4.74,
[NH4+].[NH4+].[O-][W]([O-])(=O)=O,,5.35,
[B].[B].[O--].[K+].[K+],,2.03,
O.[Mg].[Al],,5,
O.O.O.O.[Na].OOB=O,,1.165,
CO[Si](CC(C)C)(OC)C(C)C,,4,
CCCCCCC(O)CO,,7.015,
COC(=O)CCCC(=O)OC,,11,
CCCCCCCCCCCCO,,71,
CCCCCCCCCCCCCCCCCCCC,,5.991,
O=Cc1ccccn1,,1.186666667,
CCCCC(CC)CN1C(=O)C2C3CC(C=C3)C2C1=O,,1.953333333,
OCC(CO)(CO)CO,,5.15,
CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCC,,5.1,
O=C1Nc2ccccc2C(=O)O1,,5.3,
ClC1=C(Cl)C(=O)C(=C(Cl)C1=O)Cl,,2.485,
Oc1c(Br)cc(Br)cc1Br,,50,
Cc1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,,1.01,
COC(=O)c1ccccc1O,,0.9,
COc1ccc(CCN)cc1OC,,5.5,
Oc1ccc(Cl)cc1Cc2ccccc2,,2.51,
CN1CCCC1,,4.5,
[O--].[O--].[O--].[O--].[O--].[O--].[Al+3].[Al+3].[Ca++].[Ca++].[Ca++].[Ca++].[Ca++].[Ca++].[O-][S]([O-])(=O)=O.[O-][S]([O-])(=O)=O.[O-][S]([O-])(=O)=O,,3.26,
[O--].[O--].[O--].[Al+3].[Y+3],,5.14,
[Na+].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-],,2.04,
N.N.N.N.N.N.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo],,5.1,
[Ni][Ni][Ni]=[S]=S,,1.138,
[Zn++].[O-][Sn]([O-])=O,,4.35,
ClC(=O)c1ccc2C(=O)OC(=O)c2c1,,2.33,
[O--].[O--].[O--].[Ti+4].[Ba++],,4.89,
[O--].[O--].[O--].[O--].[O--].[Al+3].[Al+3].[Zn++].[Zn++],,0.005,
[C-]#[W],,5.3,
Cc1ccc(cc1Cl)[N+]([O-])=O,,0.528,
OC(=O)c1cccc(c1)C(O)=O,,11.37,
[NH4+].[Br-],,0.1,
[SiH2]=[Mo]=[SiH2],,1.93,
S=[W]=S,,5.25,
FC(C(F)(F)F)C(F)(F)Oc1c(Cl)cc(NC(=O)NC(=O)c2c(F)cccc2F)c(F)c1Cl,,5.24,
[O--].[O--].[O--].[O--].[O--].[O--].[O--].[Mg++].[Mg++].[Nb+5].[Nb+5],,5.45,
CO[P](=S)(OC)Oc1ccc(c(C)c1)[N+]([O-])=O,,2.21,
[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[K+].[Sb+3],,5.4,
CCN(CCO)c1ccc(cc1)N=Nc2sc3cc(OC)ccc3[n+]2C.CO[S]([O-])(=O)=O,,1.041,
[O--].[O--].[O--].[Al+3].[Bi+3],,5.07,
[Cl-].CCCCCCCCCCCCCCCC[n+]1ccccc1,,0.054,
CCCCC(CC)C=O,,6.83,
Nc1ccc(O)cc1,,3.42,
CNC=O,,4.1,
NC(=O)N=NC(N)=O,,0.52,
CCCCOC(C)=O,,0.74,
[OH-].[Cr+3].[O-][S]([O-])(=O)=O,,4.58,
[NH4+].[NH4+].[NH4+].[NH4+].[O-][Mo]([O-])(=O)=O.[O-][Mo]([O-])(=O)=O,,5.1,
Fc1ccc(Oc2ccnc3cc(Cl)cc(Cl)c23)cc1,,3.38,
